supernatural and legendary beings,14676
folk medicine,12043
local lore place-lore,10591
folk poetry,9337
treasure legends,7403
riddles,7208
historical and commemorative structures,6740
weather-lore,6379
jokes,6071
entertainments and recreational activities,5961
fairy forts,5571
historical persons,5071
trades and crafts,4749
proverbs,4361
penal times,4314
schools,4239
marriage,4188
land management,4149
the great famine,3947
food products,3599
buying and selling,3587
butter and churns,3324
prayers,3248
travellers,2955
residential buildings,2730
potatoes,2723
agriculture,2707
roads,2702
folk belief,2602
animal husbandry,2554
graveyards,2519
bird-lore,2423
clothing and accessories,2415
smithing,2386
bread,2107
shoes,1809
severe weather,1741
toys,1598
hardship,1585
verbal arts,1473
animal-lore,1163
death,1071
religious tales,1066
leprechauns,1008
Halloween,957
candle-making,735
May,649
Fianna,602
rites of passage,583
giants,510
spinning and weaving,487
Patrick,487
basket-making,478
narratives,477
Christmas,451
robbers,428
the Holy Family,427
Feast of St Stephen,399
belief,388
shipwrecks,381
Feast of St Brigid,370
banshees,367
winds,360
thatching,350
Cromwell,322
mermaids,311
warts,306
accessories,304
fires,302
frost and snow,297
drowning,290
lime-burning,281
Colm Cille,267
whooping-cough,235
glossaries,229
factions,227
Feast of St John,218
fishing,214
Shrovetide,189
Biddy Early,187
toothache,182
Gobán Saor,180
Feast of St Martin,178
medicine for animal sicknesses,173
wake games,173
Daniel O'Connell,172
names,166
Easter,162
legendary and spiritual places,158
foxes,150
Fenians,142
hags,140
Feast of St Patrick,139
water-horses,137
Fionn Mac Cumhaill,136
rope-making,134
dyeing,133
rain and floods,124
Brigid,123
nail-making,118
burns,115
soothsayers,115
thunder and lightning,109
plagues and epidemics,105
charms,105
erysipelas,100
ringworm,100
sore eyes,94
sprains,93
coopering,88
black pig,85
sties,75
Glas Ghoibhneann,75
soap-making,74
Petticoat Loose,74
New Year,74
Whiteboys,73
Will-o’-the-wisp,73
calling animals,71
mumps,69
sore throat,68
thrush,68
tanning,64
jaundice,63
colds,62
Whitsun,60
Epiphany,59
headache,58
rheumatism,58
Good Friday,52
chilblains,51
Seán na Sagart,51
the Days of the Brindled Cow,51
birth,50
evil eye,50
bleeding,48
Vikings,42
cuts and wounds,41
hare-hag,41
Cú Chulainn,40
boils,39
wrens,39
Ash Wednesday,39
worms,35
earache,35
magicians,35
drought,35
curses,34
thorns,32
cough,30
O'Sullivan Beare,30
stings,29
hiccups,28
Hag of Beara,28
Oisín,28
corns,27
tuberculosis,27
Viking beer,26
backache,25
whitlow,25
Ned of the Hill,25
historical periods by name,25
measles,23
the beggars' litany,23
Patrick Sarsfield,22
blackleg,21
broken or dislocated bones,21
cancer,20
elf-shot,18
fallen breastbone,18
scrofula,18
secret societies,18
landlords,17
spalpeens,14
Owen Roe O'Neill,14
Battle of the Boyne,13
farcy,12
rickets,12
Crom,11
Dean Swift,11
Ribbonmen,10
Donn Fírinne,10
Grace O'Malley,10
Myles the Slasher,9
War of Independence,9
Céadach,8
newts,8
folk drama,8
sciatica,7
social activities,7
Brian Boru,7
Feardhomhain,6
Charles Stewart Parnell,6
Battle of Knocknanuss,6
Balar,5
Hugh Roe O'Donnell,5
Theobald Wolfe Tone,5
palatines,4
Cormac Mac Airt,4
Conchobhar Mac Neasa,3
Conall Cearnach,2
Battle of Aughrim,2
Battle of Clontarf,2
Battle of Kinsale,2
agents,1
